,Title,Awards,Awards_won,Awards_nominated,Primetime_Awards_nominated,BAFTA_Awards_nominated,Oscar_nominated,Golden_Awards_nominated,Primetime_Awards_won,Oscar_Awards_won,Golden_Awards_won
3618,Türkisch für Anfänger,3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0
3623,30° i februari,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0
3624,The Trap Door,1 win.,1,0,0,0,0,0,0,0,0
3625,All-Star Superman,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0
3627,The Arrival of Wang,2 nominations.,0,2,0,0,0,0,0,0,0
3629,How to Die in Oregon,5 wins & 6 nominations.,5,6,0,0,0,0,0,0,0
3631,Thank You,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0
3632,Alcatraz,2 wins & 6 nominations.,2,6,0,0,0,0,0,0,0
3633,Aim High,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0
3634,Darwin,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0
3635,We Can't Change the World. But; We Wanna Build a School in Cambodia.,1 win.,1,0,0,0,0,0,0,0,0
3638,California Romanza,1 nomination.,0,1,0,0,0,0,0,0,0
3639,The Iran Job,1 nomination.,0,1,0,0,0,0,0,0,0
3640,You Will Be My Son,2 nominations.,0,2,0,0,0,0,0,0,0
3642,Apollo 18,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0
3643,A.N.T. Farm,7 wins & 12 nominations.,7,12,0,0,0,0,0,0,0
3646,14 de abril. La República,3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0
3647,State of Georgia,1 nomination.,0,1,0,0,0,0,0,0,0
3648,Page One: Inside the New York Times,3 wins & 9 nominations.,3,9,0,0,0,0,0,0,0
3650,A Família Mata,4 nominations.,0,4,0,0,0,0,0,0,0
3651,Allen Gregory,1 nomination.,0,1,0,0,0,0,0,0,0
3652,Superheroes,1 nomination.,0,1,0,0,0,0,0,0,0
3660,Happiness Is a Warm Blanket; Charlie Brown,1 win.,1,0,0,0,0,0,0,0,0
3662,10 O'Clock Live,3 nominations.,0,3,0,0,0,0,0,0,0
3674,After Lately,2 nominations.,0,2,0,0,0,0,0,0,0
3679,Missing,Nominated for 2 Primetime Emmys. Another 1 win & 1 nomination.,1,3,2,0,0,0,0,0,0
3689,Adam Hills in Gordon St Tonight,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0
3692,19-2,9 wins & 2 nominations.,9,2,0,0,0,0,0,0,0
3699,2 Broke Girls,Won 1 Primetime Emmy. Another 2 wins & 20 nominations.,3,20,0,0,0,0,1,0,0
3706,30 Vies,2 wins.,2,0,0,0,0,0,0,0,0
3708,Agony and Ecstasy: A Year with English National Ballet,1 nomination.,0,1,0,0,0,0,0,0,0
3717,The Path,1 nomination.,0,1,0,0,0,0,0,0,0
3730,Five,Nominated for 1 Primetime Emmy. Another 1 win & 26 nominations.,1,27,1,0,0,0,0,0,0
3736,11-M; para que nadie lo olvide,1 win.,1,0,0,0,0,0,0,0,0
3742,Quiz,1 nomination.,0,1,0,0,0,0,0,0,0
3747,Air,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0
3751,Ghost,3 nominations.,0,3,0,0,0,0,0,0,0
3754,100 Days to Heaven,2 nominations.,0,2,0,0,0,0,0,0,0
3761,Sinister,3 wins & 13 nominations.,3,13,0,0,0,0,0,0,0
3762,Alaska y Mario,1 nomination.,0,1,0,0,0,0,0,0,0
3763,Ghost Graduation,3 wins & 1 nomination.,3,1,0,0,0,0,0,0,0
3768,A Viagem,6 wins & 13 nominations.,6,13,0,0,0,0,0,0,0
3777,10 kirjaa rahasta,1 win.,1,0,0,0,0,0,0,0,0
3781,Viagem a Portugal,3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0
3785,17 Meter - Wie weit kannst du gehn?,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0
3790,All Watched Over by Machines of Loving Grace,1 nomination.,0,1,0,0,0,0,0,0,0
3791,A Mulher Invisível,2 wins & 6 nominations.,2,6,0,0,0,0,0,0,0
3798,The Cougar Club 3,2 nominations.,0,2,0,0,0,0,0,0,0
3808,Finale,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0
3810,Flat,1 win.,1,0,0,0,0,0,0,0,0
3813,Theresa Is a Mother,10 wins & 5 nominations.,10,5,0,0,0,0,0,0,0
3814,Up in Smoke,1 win.,1,0,0,0,0,0,0,0,0
3824,Hell Week,1 nomination.,0,1,0,0,0,0,0,0,0
3828,All-American Muslim,2 nominations.,0,2,0,0,0,0,0,0,0
3829,Torn,1 win.,1,0,0,0,0,0,0,0,0
3831,The Secret Disco Revolution,2 nominations.,0,2,0,0,0,0,0,0,0
3832,Correo de Inocentes,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0
3833,Technical Support,2 nominations.,0,2,0,0,0,0,0,0,0
3835,Tonight at 11:00,1 win.,1,0,0,0,0,0,0,0,0
3855,8 al dia,1 win.,1,0,0,0,0,0,0,0,0
3862,Aaron Burr; Part 2,1 nomination.,0,1,0,0,0,0,0,0,0
3863,Unter Wasser atmen - Das zweite Leben des Dr. Nils Jent,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0
3874,Teens Like Phil,4 wins.,4,0,0,0,0,0,0,0,0
3878,Revolution,Won 1 Primetime Emmy. Another 3 wins & 11 nominations.,4,11,0,0,0,0,1,0,0
3881,Stockholm East,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0
3883,Family Affair,1 win.,1,0,0,0,0,0,0,0,0
3896,The Birds of Anger,1 win.,1,0,0,0,0,0,0,0,0
3898,2011 World Series,1 win.,1,0,0,0,0,0,0,0,0
3903,Agora é Tarde,1 nomination.,0,1,0,0,0,0,0,0,0
3904,Adults Only,3 nominations.,0,3,0,0,0,0,0,0,0
3916,Hitman 101,6 nominations.,0,6,0,0,0,0,0,0,0
3919,The First on the List,4 wins & 4 nominations.,4,4,0,0,0,0,0,0,0
3922,All Over the Place,1 nomination.,0,1,0,0,0,0,0,0,0
3924,Vietnam in HD,2 wins.,2,0,0,0,0,0,0,0,0
3926,The Gate,1 win.,1,0,0,0,0,0,0,0,0
3927,Achat Efes Efes,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0
3934,Allie Haze: True Sex,2 nominations.,0,2,0,0,0,0,0,0,0
3935,Segunda mano,2 wins & 27 nominations.,2,27,0,0,0,0,0,0,0
3942,Born on the 25th of January,1 nomination.,0,1,0,0,0,0,0,0,0
3952,Add a Friend,3 wins & 1 nomination.,3,1,0,0,0,0,0,0,0
3954,Happily Never After,2 wins.,2,0,0,0,0,0,0,0,0
3987,Life is a Beach,1 win.,1,0,0,0,0,0,0,0,0
3988,30 for 30 Shorts,Won 1 Primetime Emmy. Another 4 nominations.,1,4,0,0,0,0,1,0,0
3994,The Arrival,1 win.,1,0,0,0,0,0,0,0,0
3995,A Moody Christmas,2 wins & 4 nominations.,2,4,0,0,0,0,0,0,0
3997,(fdp),1 win.,1,0,0,0,0,0,0,0,0
4000,Southwest,13 wins & 7 nominations.,13,7,0,0,0,0,0,0,0
4003,4 O'Clock Club,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0
4024,Pablo Escobar: El Patrón del Mal,3 wins.,3,0,0,0,0,0,0,0,0
4030,Blue,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0
4031,The 2011 US Open Tennis Championships,1 nomination.,0,1,0,0,0,0,0,0,0
4034,The X Factor Philippines,2 nominations.,0,2,0,0,0,0,0,0,0
4035,Epilogue,13 wins & 5 nominations.,13,5,0,0,0,0,0,0,0
