,Title,Awards,Awards_won,Awards_nominated,Primetime_Awards_nominated,BAFTA_Awards_nominated,Oscar_nominated,Golden_Awards_nominated,Primetime_Awards_won,Oscar_Awards_won,Golden_Awards_won
4825,Captain America: The Winter Soldier,Nominated for 1 Oscar. Another 5 wins & 49 nominations.,5,50,0,0,1,0,0,0,0
4826,The German Doctor,18 wins & 22 nominations.,18,22,0,0,0,0,0,0,0
4827,House of Cards,Won 2 Golden Globes. Another 25 wins & 162 nominations.,27,162,0,0,0,0,0,0,2
4829,Turbo,1 win & 11 nominations.,1,11,0,0,0,0,0,0,0
4830,Song of the Sea,Nominated for 1 Oscar. Another 11 wins & 21 nominations.,11,22,0,0,1,0,0,0,0
4833,The Amazing Spider-Man 2,3 wins & 29 nominations.,3,29,0,0,0,0,0,0,0
4834,X-Men: Days of Future Past,Nominated for 1 Oscar. Another 15 wins & 42 nominations.,15,43,0,0,1,0,0,0,0
4838,These Are the Rules,9 wins & 4 nominations.,9,4,0,0,0,0,0,0,0
4839,Fast & Furious 6,8 wins & 21 nominations.,8,21,0,0,0,0,0,0,0
4840,The Call,1 win & 10 nominations.,1,10,0,0,0,0,0,0,0
4841,Penguins of Madagascar,1 win & 6 nominations.,1,6,0,0,0,0,0,0,0
4842,Worlds Apart,1 win.,1,0,0,0,0,0,0,0,0
4844,Trash,Nominated for 1 BAFTA Film Award. Another 2 wins & 4 nominations.,2,5,0,1,0,0,0,0,0
4845,Let's Be Cops,1 nomination.,0,1,0,0,0,0,0,0,0
4847,The Big Wedding,2 nominations.,0,2,0,0,0,0,0,0,0
4851,Carrie,5 wins & 7 nominations.,5,7,0,0,0,0,0,0,0
4852,Red Sky,2 nominations.,0,2,0,0,0,0,0,0,0
4855,The Hangover Part III,2 wins & 6 nominations.,2,6,0,0,0,0,0,0,0
4856,The Hunger Games: Catching Fire,Nominated for 1 Golden Globe. Another 21 wins & 59 nominations.,21,60,0,0,0,1,0,0,0
4857,The Hunger Games: Mockingjay - Part 1,Nominated for 1 Golden Globe. Another 16 wins & 26 nominations.,16,27,0,0,0,1,0,0,0
4860,Sex Tape,2 wins & 3 nominations.,2,3,0,0,0,0,0,0,0
4861,Delivery: The Beast Within,1 win.,1,0,0,0,0,0,0,0,0
4862,Hide Your Smiling Faces,8 wins & 6 nominations.,8,6,0,0,0,0,0,0,0
4863,Strike One,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0
4864,A Most Wanted Man,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0
4865,The Cooler Bandits,1 win.,1,0,0,0,0,0,0,0,0
4867,Thor: The Dark World,2 wins & 18 nominations.,2,18,0,0,0,0,0,0,0
4868,Cloudy with a Chance of Meatballs 2,16 nominations.,0,16,0,0,0,0,0,0,0
4869,Machete Kills,3 nominations.,0,3,0,0,0,0,0,0,0
4870,Neighbors,6 wins & 11 nominations.,6,11,0,0,0,0,0,0,0
4871,Heavenly Sword,2 nominations.,0,2,0,0,0,0,0,0,0
4872,Guardians of the Galaxy,Nominated for 2 Oscars. Another 48 wins & 92 nominations.,48,94,0,0,2,0,0,0,0
4873,Mirage,1 nomination.,0,1,0,0,0,0,0,0,0
4874,All Is Lost,Nominated for 1 Oscar. Another 3 wins & 45 nominations.,3,46,0,0,1,0,0,0,0
4875,Banshee,Won 1 Primetime Emmy. Another 1 win & 5 nominations.,2,5,0,0,0,0,1,0,0
4876,Closer to the Moon,9 wins & 3 nominations.,9,3,0,0,0,0,0,0,0
4877,Non-Stop,1 nomination.,0,1,0,0,0,0,0,0,0
4878,12 Years a Slave,Won 3 Oscars. Another 234 wins & 312 nominations.,237,312,0,0,0,0,0,3,0
4884,On the Line,1 nomination.,0,1,0,0,0,0,0,0,0
4885,Cracked,7 nominations.,0,7,0,0,0,0,0,0,0
4886,Armed Response,1 win.,1,0,0,0,0,0,0,0,0
4887,Ashley,3 wins.,3,0,0,0,0,0,0,0,0
4888,Grace of Monaco,Nominated for 2 Primetime Emmys. Another 1 win & 2 nominations.,1,4,2,0,0,0,0,0,0
4889,Dumb and Dumber To,1 win & 6 nominations.,1,6,0,0,0,0,0,0,0
4890,Pieces of Talent,4 wins.,4,0,0,0,0,0,0,0,0
4893,Grand Theft Auto V,10 wins & 23 nominations.,10,23,0,0,0,0,0,0,0
4895,Lust for Love,2 wins.,2,0,0,0,0,0,0,0,0
4896,Celebrity Name Game,1 win.,1,0,0,0,0,0,0,0,0
4900,Steve Chong Finds Out That Suicide Is a Bad Idea,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0
4902,Sofia the First,Nominated for 2 Primetime Emmys. Another 4 wins & 15 nominations.,4,17,2,0,0,0,0,0,0
4905,Josh,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0
4906,Saving Mr. Banks,Nominated for 1 Oscar. Another 12 wins & 71 nominations.,12,72,0,0,1,0,0,0,0
4909,Welcome Home,2 nominations.,0,2,0,0,0,0,0,0,0
4910,Dancing on the Edge,Won 1 Golden Globe. Another 4 wins & 16 nominations.,5,16,0,0,0,0,0,0,1
4912,Batman: The Dark Knight Returns; Part 2,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0
4913,Tracks,2 wins & 18 nominations.,2,18,0,0,0,0,0,0,0
4915,Finding Mr. Right,9 wins & 13 nominations.,9,13,0,0,0,0,0,0,0
4916,Valentino,1 nomination.,0,1,0,0,0,0,0,0,0
4919,The Art of the Steal,5 nominations.,0,5,0,0,0,0,0,0,0
4922,Into the Woods,Nominated for 3 Oscars. Another 11 wins & 69 nominations.,11,72,0,0,3,0,0,0,0
4924,Death Do Us Part,2 nominations.,0,2,0,0,0,0,0,0,0
4928,Bates Motel,Nominated for 3 Primetime Emmys. Another 2 wins & 48 nominations.,2,51,3,0,0,0,0,0,0
4931,Stage Fright,1 nomination.,0,1,0,0,0,0,0,0,0
4932,A Promise,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0
4933,Sex; Drugs & Taxation,4 wins & 12 nominations.,4,12,0,0,0,0,0,0,0
4934,Welcome to the Jungle,1 win.,1,0,0,0,0,0,0,0,0
4935,About Time,3 wins & 9 nominations.,3,9,0,0,0,0,0,0,0
4936,The Disciple,2 wins & 3 nominations.,2,3,0,0,0,0,0,0,0
4939,Futuro Beach,8 wins & 11 nominations.,8,11,0,0,0,0,0,0,0
4940,The Hot Flashes,2 nominations.,0,2,0,0,0,0,0,0,0
4942,The Other Woman,3 wins & 4 nominations.,3,4,0,0,0,0,0,0,0
4945,Transcendence,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0
4951,Amber,1 win.,1,0,0,0,0,0,0,0,0
4954,Don Jon,1 win & 28 nominations.,1,28,0,0,0,0,0,0,0
4955,Sand Castles,13 wins & 11 nominations.,13,11,0,0,0,0,0,0,0
4956,The Love Punch,1 nomination.,0,1,0,0,0,0,0,0,0
4959,Bob Servant Independent,2 nominations.,0,2,0,0,0,0,0,0,0
4963,A Haunted House,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0
4964,I Give It a Year,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0
4965,Big Hero 6,Won 1 Oscar. Another 13 wins & 53 nominations.,14,53,0,0,0,0,0,1,0
4966,Scars,1 win.,1,0,0,0,0,0,0,0,0
4970,The Film Critic,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0
4971,Broadchurch,19 wins & 21 nominations.,19,21,0,0,0,0,0,0,0
4975,The Best Friend,1 win.,1,0,0,0,0,0,0,0,0
4977,A Place to Call Home,1 win & 8 nominations.,1,8,0,0,0,0,0,0,0
4981,Four Moons,3 wins & 4 nominations.,3,4,0,0,0,0,0,0,0
4982,Bigshot,1 nomination.,0,1,0,0,0,0,0,0,0
4984,The Book of Life,Nominated for 1 Golden Globe. Another 3 wins & 27 nominations.,3,28,0,0,0,1,0,0,0
4985,Dragon Ball Z: Battle of Gods,7 wins & 4 nominations.,7,4,0,0,0,0,0,0,0
4986,Drinking Buddies,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0
4988,Joshua Tree,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0
4989,Gone Girl,Nominated for 1 Oscar. Another 64 wins & 169 nominations.,64,170,0,0,1,0,0,0,0
4990,These Final Hours,3 wins & 7 nominations.,3,7,0,0,0,0,0,0,0
4993,Revolution,1 win.,1,0,0,0,0,0,0,0,0
4994,Cuéntame un cuento,2 wins.,2,0,0,0,0,0,0,0,0
4996,The Grand Budapest Hotel,Won 4 Oscars. Another 122 wins & 213 nominations.,126,213,0,0,0,0,0,4,0
4999,The Coin,1 win.,1,0,0,0,0,0,0,0,0
5000,Muppets Most Wanted,3 wins & 11 nominations.,3,11,0,0,0,0,0,0,0
5001,Man from Reno,3 wins & 4 nominations.,3,4,0,0,0,0,0,0,0
5002,Witches of East End,3 nominations.,0,3,0,0,0,0,0,0,0
5003,Once Upon a Time in Shanghai,1 nomination.,0,1,0,0,0,0,0,0,0
5005,The Canyons,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0
5006,Frozen,Won 2 Oscars. Another 72 wins & 57 nominations.,74,57,0,0,0,0,0,2,0
5008,Bread and Butter,3 wins & 5 nominations.,3,5,0,0,0,0,0,0,0
5009,Dracula,3 nominations.,0,3,0,0,0,0,0,0,0
5010,Love Is in the Air,1 nomination.,0,1,0,0,0,0,0,0,0
5015,The Hobbit: The Battle of the Five Armies,Nominated for 1 Oscar. Another 6 wins & 45 nominations.,6,46,0,0,1,0,0,0,0
5019,Eve of Destruction,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0
5021,Beauty and the Beast,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0
5022,De Wederopstanding van een Klootzak,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0
5027,The Notebook,5 wins & 2 nominations.,5,2,0,0,0,0,0,0,0
5028,Beware the Batman,11 nominations.,0,11,0,0,0,0,0,0,0
5032,The Expendables 3,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0
5034,Chocolat,1 nomination.,0,1,0,0,0,0,0,0,0
5037,The Woman in Black 2: Angel of Death,1 nomination.,0,1,0,0,0,0,0,0,0
5038,The Well,2 nominations.,0,2,0,0,0,0,0,0,0
5040,Getting On,Nominated for 1 Primetime Emmy. Another 1 win & 5 nominations.,1,6,1,0,0,0,0,0,0
5042,Rölli ja kultainen avain,2 nominations.,0,2,0,0,0,0,0,0,0
5043,Being Mary Jane,7 wins & 18 nominations.,7,18,0,0,0,0,0,0,0
5044,Leprechaun: Origins,2 nominations.,0,2,0,0,0,0,0,0,0
5053,Rio 2,1 win & 19 nominations.,1,19,0,0,0,0,0,0,0
5054,The Berlin File,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0
5055,Honey,23 wins & 27 nominations.,23,27,0,0,0,0,0,0,0
5057,All the Wilderness,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0
5059,2 Francs; 40 Pesetas,2 nominations.,0,2,0,0,0,0,0,0,0
5065,Agents of S.H.I.E.L.D.,Nominated for 2 Primetime Emmys. Another 2 wins & 21 nominations.,2,23,2,0,0,0,0,0,0
5068,Bitten,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0
5073,Need for Speed,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0
5076,The River,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0
5077,Orange Is the New Black,Nominated for 6 Golden Globes. Another 43 wins & 92 nominations.,43,98,0,0,0,6,0,0,0
5078,The Next Step,3 wins & 7 nominations.,3,7,0,0,0,0,0,0,0
5079,BFFs,4 wins & 3 nominations.,4,3,0,0,0,0,0,0,0
5080,Run,2 wins & 7 nominations.,2,7,0,0,0,0,0,0,0
5081,Black Sails,Won 3 Primetime Emmys. Another 2 wins & 17 nominations.,5,17,0,0,0,0,3,0,0
5084,Deliver Us from Evil,2 nominations.,0,2,0,0,0,0,0,0,0
5085,Special 26,11 nominations.,0,11,0,0,0,0,0,0,0
5087,Monster Pies,1 win.,1,0,0,0,0,0,0,0,0
5088,Treachery,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0
5090,Better Man,4 wins & 5 nominations.,4,5,0,0,0,0,0,0,0
5091,Nymphomaniac: Vol. II,14 wins & 26 nominations.,14,26,0,0,0,0,0,0,0
5092,Joe,4 wins & 9 nominations.,4,9,0,0,0,0,0,0,0
5094,Jerusalem,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0
5095,Coyote,3 wins.,3,0,0,0,0,0,0,0,0
5096,White Lies,2 wins & 9 nominations.,2,9,0,0,0,0,0,0,0
5097,The Battle of the Sexes,1 nomination.,0,1,0,0,0,0,0,0,0
5098,The Education of Mohammad Hussein,2 nominations.,0,2,0,0,0,0,0,0,0
5099,About: Kate,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0
5100,Yozgat Blues,4 wins & 8 nominations.,4,8,0,0,0,0,0,0,0
5103,Chosen,3 wins & 3 nominations.,3,3,0,0,0,0,0,0,0
5105,Wings,2 nominations.,0,2,0,0,0,0,0,0,0
5106,Model Behaviour,5 wins & 9 nominations.,5,9,0,0,0,0,0,0,0
5108,Pac-Man and the Ghostly Adventures,6 nominations.,0,6,0,0,0,0,0,0,0
5110,The Golden Ticket,4 wins & 9 nominations.,4,9,0,0,0,0,0,0,0
5112,Kill Me Three Times,2 nominations.,0,2,0,0,0,0,0,0,0
5115,Chasing Life,4 nominations.,0,4,0,0,0,0,0,0,0
5118,The Reunion,11 wins & 6 nominations.,11,6,0,0,0,0,0,0,0
5120,The Family,1 nomination.,0,1,0,0,0,0,0,0,0
5121,The Box,5 wins & 2 nominations.,5,2,0,0,0,0,0,0,0
5122,The Past,Nominated for 1 Golden Globe. Another 12 wins & 35 nominations.,12,36,0,0,0,1,0,0,0
5124,The Bridge,7 wins & 3 nominations.,7,3,0,0,0,0,0,0,0
5125,The Human Factor,2 wins.,2,0,0,0,0,0,0,0,0
5127,Tough Guy,1 nomination.,0,1,0,0,0,0,0,0,0
5128,Killers,1 win.,1,0,0,0,0,0,0,0,0
5130,Abducted,1 win.,1,0,0,0,0,0,0,0,0
5133,Abuse of Weakness,4 nominations.,0,4,0,0,0,0,0,0,0
5135,Sexo fácil; películas tristes,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0
5136,Make a Wish,1 win.,1,0,0,0,0,0,0,0,0
5140,Easy Money III: Life Deluxe,3 nominations.,0,3,0,0,0,0,0,0,0
5144,Snow,1 win.,1,0,0,0,0,0,0,0,0
5145,Mother; I Love You,7 wins & 4 nominations.,7,4,0,0,0,0,0,0,0
5150,Recommended by Enrique,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0
5151,V/H/S/2,1 win & 6 nominations.,1,6,0,0,0,0,0,0,0
5152,The Reckoning,3 wins & 4 nominations.,3,4,0,0,0,0,0,0,0
5153,Avengers Assemble,8 nominations.,0,8,0,0,0,0,0,0,0
5155,Shades,1 win.,1,0,0,0,0,0,0,0,0
5160,Happy New Year,10 wins & 38 nominations.,10,38,0,0,0,0,0,0,0
5163,The Illness and the Odyssey,2 wins.,2,0,0,0,0,0,0,0,0
5164,Brooklyn Nine-Nine,Won 2 Golden Globes. Another 7 wins & 54 nominations.,9,54,0,0,0,0,0,0,2
5167,Paranormal Activity: The Marked Ones,2 nominations.,0,2,0,0,0,0,0,0,0
5170,Wasted,1 nomination.,0,1,0,0,0,0,0,0,0
5176,Camp Lakebottom,1 nomination.,0,1,0,0,0,0,0,0,0
5177,The Fall from Heaven,7 wins & 2 nominations.,7,2,0,0,0,0,0,0,0
5182,Spongebob Squarepants 4D Attraction: The Great Jelly Rescue,1 nomination.,0,1,0,0,0,0,0,0,0
5186,Good Ol' Freda,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0
5189,Jealousy,2 nominations.,0,2,0,0,0,0,0,0,0
5190,Man Up; Little Boy,1 win.,1,0,0,0,0,0,0,0,0
5191,Escobar: Paradise Lost,1 nomination.,0,1,0,0,0,0,0,0,0
5194,Rock the Casbah,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0
5195,24 Hour Rental,1 nomination.,0,1,0,0,0,0,0,0,0
5197,72 Hours,1 win.,1,0,0,0,0,0,0,0,0
5202,The Yes Men Are Revolting,1 nomination.,0,1,0,0,0,0,0,0,0
5206,Call Me Crazy: A Five Film,4 wins & 2 nominations.,4,2,0,0,0,0,0,0,0
5208,Halt and Catch Fire,Nominated for 1 Primetime Emmy. Another 1 win & 6 nominations.,1,7,1,0,0,0,0,0,0
5209,The Enemy Within,4 wins & 7 nominations.,4,7,0,0,0,0,0,0,0
5211,Gold Fever,1 win.,1,0,0,0,0,0,0,0,0
5213,Romeo Killer: The Chris Porco Story,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0
5216,Between Jupiter and Mars,1 nomination.,0,1,0,0,0,0,0,0,0
5217,Salma,2 nominations.,0,2,0,0,0,0,0,0,0
5218,Fire-Followers,1 nomination.,0,1,0,0,0,0,0,0,0
5221,After School Massacre,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0
5223,Holiday,1 win & 6 nominations.,1,6,0,0,0,0,0,0,0
5226,The Second Meeting,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0
5232,In God We Trust,1 nomination.,0,1,0,0,0,0,0,0,0
5239,Africa,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0
5240,Studio illegale,1 win.,1,0,0,0,0,0,0,0,0
5243,Silicon Valley,Nominated for 2 Golden Globes. Another 10 wins & 46 nominations.,10,48,0,0,0,2,0,0,0
5245,Broad City,8 nominations.,0,8,0,0,0,0,0,0,0
5249,Julia,13 wins & 8 nominations.,13,8,0,0,0,0,0,0,0
5254,The Return,1 nomination.,0,1,0,0,0,0,0,0,0
5258,Viral,1 nomination.,0,1,0,0,0,0,0,0,0
5259,Venezia salva,1 win.,1,0,0,0,0,0,0,0,0
5261,At the Devil's Door,1 nomination.,0,1,0,0,0,0,0,0,0
5262,The Necklace,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0
5263,Great,4 wins & 5 nominations.,4,5,0,0,0,0,0,0,0
5267,Real Husbands of Hollywood,2 wins & 15 nominations.,2,15,0,0,0,0,0,0,0
5269,A Madea Christmas,1 win & 6 nominations.,1,6,0,0,0,0,0,0,0
5274,Brimstone Terrace,1 win.,1,0,0,0,0,0,0,0,0
5276,Die Tapferen Haende im Chaos der Zeit,5 wins & 2 nominations.,5,2,0,0,0,0,0,0,0
5288,When the Ocean Met the Sky,10 wins & 2 nominations.,10,2,0,0,0,0,0,0,0
5294,60 Minutes Sports,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0
5312,Amnesia,2 nominations.,0,2,0,0,0,0,0,0,0
5315,The Ultimate Guide to the Presidents,2 nominations.,0,2,0,0,0,0,0,0,0
5316,Ghost in the Shell Arise: Border 1 - Ghost Pain,1 nomination.,0,1,0,0,0,0,0,0,0
5319,A Little Chaos,2 nominations.,0,2,0,0,0,0,0,0,0
5336,Im Alleingang - Elemente des Zweifels,3 nominations.,0,3,0,0,0,0,0,0,0
5340,Brody Stevens: Enjoy It!,1 nomination.,0,1,0,0,0,0,0,0,0
5342,Sleepy Hollow,Nominated for 1 Primetime Emmy. Another 30 nominations.,0,31,1,0,0,0,0,0,0
5344,Alien Mysteries,1 nomination.,0,1,0,0,0,0,0,0,0
5346,What Remains,1 win.,1,0,0,0,0,0,0,0,0
5348,In the Name of,4 wins & 6 nominations.,4,6,0,0,0,0,0,0,0
5351,A Tale of Samurai Cooking: A True Love Story,2 nominations.,0,2,0,0,0,0,0,0,0
5352,Almost Human,Nominated for 1 Primetime Emmy. Another 2 wins & 4 nominations.,2,5,1,0,0,0,0,0,0
5355,Charlie Brooker's Weekly Wipe,1 nomination.,0,1,0,0,0,0,0,0,0
5357,Commando,7 nominations.,0,7,0,0,0,0,0,0,0
5360,Alive,4 nominations.,0,4,0,0,0,0,0,0,0
5369,Invisible,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0
5378,About a Boy,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0
5380,Harlock: Space Pirate,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0
5383,Time Lapse,18 wins & 5 nominations.,18,5,0,0,0,0,0,0,0
5384,Jan Dara: The Finale,1 win & 5 nominations.,1,5,0,0,0,0,0,0,0
5388,Big Shot,1 nomination.,0,1,0,0,0,0,0,0,0
5392,Last Call,6 wins & 13 nominations.,6,13,0,0,0,0,0,0,0
5401,Summer,1 win & 8 nominations.,1,8,0,0,0,0,0,0,0
5412,This Way Out,4 wins.,4,0,0,0,0,0,0,0,0
5413,Above and Beyond,1 win.,1,0,0,0,0,0,0,0,0
5414,Adam,1 win.,1,0,0,0,0,0,0,0,0
5417,Atlantis,1 nomination.,0,1,0,0,0,0,0,0,0
5420,Bonnie & Clyde,Nominated for 4 Primetime Emmys. Another 12 nominations.,0,16,4,0,0,0,0,0,0
5422,The Morning After,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0
5430,The Tunnel,4 wins & 2 nominations.,4,2,0,0,0,0,0,0,0
5432,Drunk History,Won 1 Primetime Emmy. Another 1 win & 4 nominations.,2,4,0,0,0,0,1,0,0
5439,A Mãe do Senhor Ministro,1 nomination.,0,1,0,0,0,0,0,0,0
5444,On the Job,20 wins & 32 nominations.,20,32,0,0,0,0,0,0,0
5445,Circus Halligalli,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0
5456,Sharknado,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0
5472,Chiquititas,9 nominations.,0,9,0,0,0,0,0,0,0
5480,Two Days; One Night,Nominated for 1 Oscar. Another 38 wins & 74 nominations.,38,75,0,0,1,0,0,0,0
5481,All My Children,3 wins & 3 nominations.,3,3,0,0,0,0,0,0,0
5486,Assassin's Creed IV: Black Flag,1 win & 11 nominations.,1,11,0,0,0,0,0,0,0
5500,Friends with Better Lives,1 nomination.,0,1,0,0,0,0,0,0,0
5504,Istanbul Unveiled,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0
5508,Bullit: The Documentary,1 win.,1,0,0,0,0,0,0,0,0
5515,Betrayal,1 nomination.,0,1,0,0,0,0,0,0,0
5525,Eclipse em Portugal,1 nomination.,0,1,0,0,0,0,0,0,0
5530,Inja Iran,2 nominations.,0,2,0,0,0,0,0,0,0
5534,Vegas,2 nominations.,0,2,0,0,0,0,0,0,0
5540,Truth or Dare,19 wins & 10 nominations.,19,10,0,0,0,0,0,0,0
5545,Phoenix,15 wins & 27 nominations.,15,27,0,0,0,0,0,0,0
5551,Dessert Contest,1 win.,1,0,0,0,0,0,0,0,0
5552,The Wild,2 nominations.,0,2,0,0,0,0,0,0,0
5554,Bad Judge,3 nominations.,0,3,0,0,0,0,0,0,0
5559,Veronica Mars,6 nominations.,0,6,0,0,0,0,0,0,0
5567,Skin,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0
5577,Big Brother Canada,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0
5600,Goal of the Dead,1 nomination.,0,1,0,0,0,0,0,0,0
5606,The Interview,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0
5613,24: India,1 nomination.,0,1,0,0,0,0,0,0,0
5614,An Bronntanas,1 nomination.,0,1,0,0,0,0,0,0,0
5618,Starry Eyes,6 wins & 15 nominations.,6,15,0,0,0,0,0,0,0
5630,Checkmate; Keep Your Enemies Closer,3 wins & 5 nominations.,3,5,0,0,0,0,0,0,0
5631,Wilt Chamberlain: Borscht Belt Bellhop,1 nomination.,0,1,0,0,0,0,0,0,0
5637,Bomba,1 nomination.,0,1,0,0,0,0,0,0,0
5641,Kingsman: The Secret Service,6 wins & 19 nominations.,6,19,0,0,0,0,0,0,0
5644,Chicago P.D.,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0
5662,As Canalhas,1 nomination.,0,1,0,0,0,0,0,0,0
5671,Flower,1 nomination.,0,1,0,0,0,0,0,0,0
5676,The Best Laid Plans,5 wins & 4 nominations.,5,4,0,0,0,0,0,0,0
5677,Bem-Vindos a Beirais,5 wins & 6 nominations.,5,6,0,0,0,0,0,0,0
5681,Cosplay Piano,1 win.,1,0,0,0,0,0,0,0,0
5682,Bastards,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0
5683,The Rise and Rise of Bitcoin,1 nomination.,0,1,0,0,0,0,0,0,0
5684,Anna Karenina,1 win.,1,0,0,0,0,0,0,0,0
5693,Power Games: The Packer-Murdoch Story,4 wins & 6 nominations.,4,6,0,0,0,0,0,0,0
5727,Anthony Bourdain: Parts Unknown,Won 5 Primetime Emmys. Another 7 wins & 23 nominations.,12,23,0,0,0,0,5,0,0
5732,Role Play,1 nomination.,0,1,0,0,0,0,0,0,0
5734,The Final Straw,1 nomination.,0,1,0,0,0,0,0,0,0
5744,Battlefield 4,2 wins & 6 nominations.,2,6,0,0,0,0,0,0,0
5748,Job Interview,6 wins & 12 nominations.,6,12,0,0,0,0,0,0,0
5755,Brother,3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0
5762,Cool Kids Don't Cry,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0
5776,Cedar Cove,1 nomination.,0,1,0,0,0,0,0,0,0
5787,Aliens: The Definitive Guide,1 win.,1,0,0,0,0,0,0,0,0
5804,Behind the Mask,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0
5809,Patrick's Day,12 wins & 10 nominations.,12,10,0,0,0,0,0,0,0
5817,Casting,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0
5820,Sacrifice,1 win.,1,0,0,0,0,0,0,0,0
5821,Safe,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0
5822,Waiting for the Thaw,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0
5823,Exile,1 nomination.,0,1,0,0,0,0,0,0,0
5824,Dead End,5 wins & 15 nominations.,5,15,0,0,0,0,0,0,0
5835,By Any Means,2 nominations.,0,2,0,0,0,0,0,0,0
5839,3 Teresas,2 nominations.,0,2,0,0,0,0,0,0,0
5844,My Old Lady,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0
5845,The Last Black Sea Pirates,4 wins & 7 nominations.,4,7,0,0,0,0,0,0,0
5851,Bigg Boss Kannada,1 win.,1,0,0,0,0,0,0,0,0
5868,The Dead 2: India,2 nominations.,0,2,0,0,0,0,0,0,0
5883,The Lady in Number 6: Music Saved My Life,Won 1 Oscar. Another 2 wins & 1 nomination.,3,1,0,0,0,0,0,1,0
5900,Cutthroat Kitchen,1 nomination.,0,1,0,0,0,0,0,0,0
5902,Star Wars Rebels,4 wins & 14 nominations.,4,14,0,0,0,0,0,0,0
5907,Kings,1 nomination.,0,1,0,0,0,0,0,0,0
5917,Amor à Vida,20 wins & 19 nominations.,20,19,0,0,0,0,0,0,0
5922,Full Moon,1 nomination.,0,1,0,0,0,0,0,0,0
5929,More Scenes from a Gay Marriage,6 wins & 2 nominations.,6,2,0,0,0,0,0,0,0
5930,La clé de la chambre à lessive,1 win.,1,0,0,0,0,0,0,0,0
5931,Ich hab noch Auferstehung,1 nomination.,0,1,0,0,0,0,0,0,0
5937,Buenos Aires,1 win.,1,0,0,0,0,0,0,0,0
5949,The Detectives,1 nomination.,0,1,0,0,0,0,0,0,0
5951,App,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0
5954,A Menina Sem Qualidades,2 wins.,2,0,0,0,0,0,0,0,0
5965,Throwback,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0
5968,Call of Duty: Ghosts,2 wins & 3 nominations.,2,3,0,0,0,0,0,0,0
5970,Up the Women,2 wins.,2,0,0,0,0,0,0,0,0
5971,Kung Fu Killer,3 wins & 12 nominations.,3,12,0,0,0,0,0,0,0
5985,Sweets,8 nominations.,0,8,0,0,0,0,0,0,0
