Word,Rank,Frequency,Pr(%),r*Pr
still,185,1355,0.1%,0.117390
thought,186,1353,0.1%,0.117851
sea,187,1351,0.1%,0.118309
last,188,1333,0.1%,0.117357
just,189,1332,0.1%,0.117893
done,190,1322,0.1%,0.117627
word,191,1303,0.1%,0.116546
its,192,1291,0.1%,0.116078
world,193,1285,0.1%,0.116140
face,194,1275,0.1%,0.115833
why,195,1272,0.1%,0.116156
days,196,1270,0.1%,0.116568
night,197,1270,0.1%,0.117163
same,198,1268,0.1%,0.117572
saith,199,1267,0.1%,0.118073
found,200,1263,0.1%,0.118292
voice,201,1258,0.1%,0.118412
another,202,1256,0.1%,0.118812
whale,203,1254,0.1%,0.119210
took,204,1242,0.1%,0.118651
hear,205,1235,0.1%,0.118561
brought,206,1231,0.1%,0.118753
hast,207,1230,0.1%,0.119233
three,208,1228,0.1%,0.119614
while,209,1222,0.1%,0.119602
mother,210,1213,0.1%,0.119289
forth,211,1195,0.1%,0.118079
sons,212,1191,0.1%,0.118241
miss,213,1190,0.1%,0.118699
look,214,1187,0.1%,0.118956
heaven,215,1185,0.1%,0.119310
set,216,1181,0.1%,0.119461
side,217,1166,0.1%,0.118489
round,218,1162,0.1%,0.118627
young,219,1158,0.1%,0.118761
tell,220,1153,0.1%,0.118788
right,221,1148,0.1%,0.118811
called,222,1138,0.1%,0.118309
under,223,1126,0.1%,0.117588
back,224,1123,0.1%,0.117801
love,225,1121,0.1%,0.118116
david,226,1110,0.1%,0.117477
neither,227,1109,0.1%,0.117890
cried,228,1107,0.1%,0.118196
pass,229,1090,0.1%,0.116891
seemed,230,1086,0.1%,0.116971
soon,231,1081,0.1%,0.116939
quite,232,1079,0.1%,0.117228
oh,233,1075,0.1%,0.117297
both,234,1072,0.1%,0.117471
words,235,1057,0.0%,0.116322
city,236,1052,0.0%,0.116265
sir,237,1050,0.0%,0.116536
thine,238,1047,0.0%,0.116693
left,239,1023,0.0%,0.114497
years,240,1023,0.0%,0.114976
mine,241,1020,0.0%,0.115117
till,242,1018,0.0%,0.115368
always,243,1013,0.0%,0.115275
hands,244,1006,0.0%,0.114950
speak,245,1003,0.0%,0.115077
bring,246,996,0.0%,0.114740
jesus,247,988,0.0%,0.114281
looked,248,984,0.0%,0.114279
high,249,982,0.0%,0.114507
death,250,981,0.0%,0.114850
herself,251,971,0.0%,0.114134
woman,252,966,0.0%,0.113998
together,253,964,0.0%,0.114214
far,254,946,0.0%,0.112524
sent,255,944,0.0%,0.112728
something,256,942,0.0%,0.112931
whole,257,938,0.0%,0.112890
seen,258,935,0.0%,0.112967
once,259,931,0.0%,0.112920
stood,260,930,0.0%,0.113234
sure,261,921,0.0%,0.112570
thereof,262,920,0.0%,0.112878
half,263,916,0.0%,0.112816
gave,264,914,0.0%,0.112998
soul,265,910,0.0%,0.112930
poor,266,907,0.0%,0.112982
end,267,896,0.0%,0.112031
fire,268,890,0.0%,0.111698
work,269,887,0.0%,0.111737
morning,270,877,0.0%,0.110888
better,271,874,0.0%,0.110918
indeed,272,873,0.0%,0.111200
according,273,867,0.0%,0.110842
emma,274,866,0.0%,0.111119
moses,275,864,0.0%,0.111267
captain,276,859,0.0%,0.111026
don,277,855,0.0%,0.110909
part,278,854,0.0%,0.111179
eat,279,849,0.0%,0.110926
given,280,848,0.0%,0.111192
jerusalem,281,821,0.0%,0.108036
full,282,819,0.0%,0.108157
whose,283,819,0.0%,0.108540
judah,284,817,0.0%,0.108658
cannot,285,816,0.0%,0.108907
water,286,816,0.0%,0.109289
evil,287,811,0.0%,0.108999
each,288,810,0.0%,0.109244
rather,289,809,0.0%,0.109488
enough,290,808,0.0%,0.109731
brother,291,807,0.0%,0.109973
answered,292,806,0.0%,0.110214
myself,293,795,0.0%,0.109083
going,294,794,0.0%,0.109317
light,295,793,0.0%,0.109551
new,296,791,0.0%,0.109645
white,297,788,0.0%,0.109598
told,298,782,0.0%,0.109130
themselves,299,778,0.0%,0.108936
offering,300,767,0.0%,0.107755
between,301,767,0.0%,0.108114
hundred,302,766,0.0%,0.108332
almost,303,764,0.0%,0.108407
mind,304,764,0.0%,0.108765
body,305,762,0.0%,0.108837
began,306,761,0.0%,0.109050
lady,307,761,0.0%,0.109407
door,308,757,0.0%,0.109186
rest,309,755,0.0%,0.109251
wife,310,755,0.0%,0.109605
moment,311,755,0.0%,0.109958
thousand,312,755,0.0%,0.110312
dead,313,751,0.0%,0.110079
friend,314,749,0.0%,0.110137
knew,315,748,0.0%,0.110340
spirit,316,746,0.0%,0.110394
ship,317,744,0.0%,0.110447
sight,318,741,0.0%,0.110348
get,319,739,0.0%,0.110397
law,320,736,0.0%,0.110293
blood,321,734,0.0%,0.110337
dear,322,732,0.0%,0.110379
having,323,728,0.0%,0.110117
turned,324,727,0.0%,0.110306
find,325,726,0.0%,0.110495
stand,326,724,0.0%,0.110529
keep,327,721,0.0%,0.110409
room,328,721,0.0%,0.110746
art,329,715,0.0%,0.110160
priest,330,710,0.0%,0.109722
gone,331,707,0.0%,0.109589
holy,332,692,0.0%,0.107588
none,333,686,0.0%,0.106977
elinor,334,685,0.0%,0.107142
fear,335,683,0.0%,0.107149
home,336,681,0.0%,0.107154
hope,337,681,0.0%,0.107473
ll,338,678,0.0%,0.107317
yes,339,676,0.0%,0.107317
however,340,673,0.0%,0.107156
really,341,670,0.0%,0.106992
few,342,664,0.0%,0.106344
gold,343,663,0.0%,0.106495
call,344,657,0.0%,0.105839
spake,345,656,0.0%,0.105985
believe,346,655,0.0%,0.106130
sword,347,647,0.0%,0.105137
peace,348,646,0.0%,0.105277
taken,349,645,0.0%,0.105416
perhaps,350,633,0.0%,0.103751
marianne,351,632,0.0%,0.103883
egypt,352,632,0.0%,0.104179
mouth,353,631,0.0%,0.104310
does,354,631,0.0%,0.104605
year,355,625,0.0%,0.103903
four,356,623,0.0%,0.103863
within,357,619,0.0%,0.103486
known,358,616,0.0%,0.103272
strong,359,612,0.0%,0.102888
feet,360,608,0.0%,0.102501
power,361,608,0.0%,0.102785
air,362,608,0.0%,0.103070
felt,363,606,0.0%,0.103015
sister,364,606,0.0%,0.103299
ahab,365,605,0.0%,0.103412
servant,366,605,0.0%,0.103695
present,367,604,0.0%,0.103806
whether,368,603,0.0%,0.103917
near,369,603,0.0%,0.104199
bear,370,603,0.0%,0.104482
cast,371,598,0.0%,0.103895
fathers,372,595,0.0%,0.103653
christ,373,594,0.0%,0.103757
asked,374,594,0.0%,0.104035
sort,375,592,0.0%,0.103962
best,376,590,0.0%,0.103887
turn,377,589,0.0%,0.103987
servants,378,584,0.0%,0.103377
looking,379,581,0.0%,0.103118
five,380,581,0.0%,0.103390
brethren,381,578,0.0%,0.103127
mean,382,573,0.0%,0.102504
daughter,383,572,0.0%,0.102592
small,384,569,0.0%,0.102321
open,385,569,0.0%,0.102587
happy,386,569,0.0%,0.102854
boy,387,566,0.0%,0.102577
next,388,565,0.0%,0.102660
seven,389,564,0.0%,0.102742
sat,390,563,0.0%,0.102824
sun,391,562,0.0%,0.102904
return,392,559,0.0%,0.102617
anne,393,556,0.0%,0.102326
hold,394,552,0.0%,0.101849
above,395,551,0.0%,0.101922
want,396,550,0.0%,0.101995
else,397,549,0.0%,0.102067
child,398,548,0.0%,0.102137
cut,399,548,0.0%,0.102394
live,400,548,0.0%,0.102651
turnbull,401,545,0.0%,0.102344
since,402,541,0.0%,0.101846
fell,403,539,0.0%,0.101722
m,404,532,0.0%,0.100650
truth,405,526,0.0%,0.099761
pray,406,526,0.0%,0.100007
glory,407,524,0.0%,0.099873
certain,408,523,0.0%,0.099927
sin,409,522,0.0%,0.099980
cities,410,521,0.0%,0.100033
syme,411,519,0.0%,0.099892
true,412,518,0.0%,0.099942
coming,413,517,0.0%,0.099991
others,414,516,0.0%,0.100039
least,415,516,0.0%,0.100281
lay,416,516,0.0%,0.100523
ground,417,515,0.0%,0.100569
leave,418,514,0.0%,0.100614
flesh,419,513,0.0%,0.100659
until,420,510,0.0%,0.100309
manner,421,509,0.0%,0.100351
passed,422,508,0.0%,0.100391
cause,423,507,0.0%,0.100431
harriet,424,506,0.0%,0.100470
walk,425,503,0.0%,0.100110
eye,426,502,0.0%,0.100146
matter,427,499,0.0%,0.099781
alone,428,498,0.0%,0.099815
afraid,429,498,0.0%,0.100048
brown,430,498,0.0%,0.100281
tree,431,497,0.0%,0.100312
evening,432,496,0.0%,0.100343
wish,433,495,0.0%,0.100372
got,434,493,0.0%,0.100198
fall,435,489,0.0%,0.099614
john,436,487,0.0%,0.099434
family,437,485,0.0%,0.099253
commanded,438,485,0.0%,0.099480
less,439,484,0.0%,0.099502
enter,440,484,0.0%,0.099728
friends,441,483,0.0%,0.099749
towards,442,482,0.0%,0.099768
replied,443,481,0.0%,0.099786
answer,444,480,0.0%,0.099803
ten,445,477,0.0%,0.099403
kind,446,476,0.0%,0.099417
behind,447,474,0.0%,0.099222
twenty,448,472,0.0%,0.099024
toward,449,468,0.0%,0.098404
drink,450,468,0.0%,0.098623
die,451,468,0.0%,0.098842
black,452,467,0.0%,0.098850
war,453,466,0.0%,0.098856
times,454,465,0.0%,0.098862
second,455,459,0.0%,0.097801
bread,456,459,0.0%,0.098016
hour,457,458,0.0%,0.098017
book,458,456,0.0%,0.097803
along,459,453,0.0%,0.097371
midst,460,450,0.0%,0.096937
money,461,448,0.0%,0.096716
haue,462,448,0.0%,0.096926
reason,463,446,0.0%,0.096702
silver,464,445,0.0%,0.096694
waters,465,443,0.0%,0.096467
joy,466,442,0.0%,0.096456
weston,467,440,0.0%,0.096226
field,468,440,0.0%,0.096432
priests,469,439,0.0%,0.096418
kept,470,439,0.0%,0.096624
large,471,435,0.0%,0.095947
saul,472,435,0.0%,0.096151
country,473,433,0.0%,0.095911
ask,474,433,0.0%,0.096114
mighty,475,433,0.0%,0.096317
red,476,431,0.0%,0.096074
help,477,431,0.0%,0.096276
living,478,429,0.0%,0.096030
macian,479,426,0.0%,0.095558
fine,480,426,0.0%,0.095757
feel,481,426,0.0%,0.095957
remember,482,425,0.0%,0.095931
kings,483,425,0.0%,0.096130
wicked,484,423,0.0%,0.095875
often,485,423,0.0%,0.096073
course,486,421,0.0%,0.095816
understand,487,420,0.0%,0.095785
garden,488,417,0.0%,0.095296
spoken,489,415,0.0%,0.095034
person,490,413,0.0%,0.094769
returned,491,413,0.0%,0.094963
pleasure,492,413,0.0%,0.095156
ready,493,411,0.0%,0.094888
sweet,494,408,0.0%,0.094386
certainly,495,407,0.0%,0.094345
nature,496,407,0.0%,0.094536
dark,497,406,0.0%,0.094494
green,498,405,0.0%,0.094451
dwell,499,404,0.0%,0.094407
strange,500,404,0.0%,0.094596
boat,501,403,0.0%,0.094550
burnt,502,403,0.0%,0.094739
women,503,402,0.0%,0.094692
altar,504,402,0.0%,0.094881
alice,505,401,0.0%,0.094832
short,506,400,0.0%,0.094783
able,507,399,0.0%,0.094733
nations,508,398,0.0%,0.094682
broken,509,397,0.0%,0.094630
send,510,397,0.0%,0.094816
written,511,396,0.0%,0.094763
faith,512,395,0.0%,0.094708
anything,513,394,0.0%,0.094653
table,514,394,0.0%,0.094838
master,515,393,0.0%,0.094781
bed,516,393,0.0%,0.094965
chief,517,391,0.0%,0.094665
knightley,518,389,0.0%,0.094363
surely,519,389,0.0%,0.094545
ought,520,386,0.0%,0.093996
gods,521,386,0.0%,0.094177
elton,522,385,0.0%,0.094114
wherefore,523,383,0.0%,0.093804
laid,524,383,0.0%,0.093983
strength,525,383,0.0%,0.094163
praise,526,381,0.0%,0.093849
jacob,527,380,0.0%,0.093781
ran,528,380,0.0%,0.093959
either,529,380,0.0%,0.094137
rose,530,379,0.0%,0.094067
itself,531,378,0.0%,0.093996
judgment,532,377,0.0%,0.093923
congregation,533,376,0.0%,0.093850
trees,534,375,0.0%,0.093776
gate,535,374,0.0%,0.093701
business,536,374,0.0%,0.093877
yea,537,371,0.0%,0.093297
wise,538,370,0.0%,0.093219
honour,539,369,0.0%,0.093140
meet,540,368,0.0%,0.093060
walked,541,367,0.0%,0.092979
received,542,365,0.0%,0.092643
glad,543,365,0.0%,0.092814
six,544,365,0.0%,0.092985
kingdom,545,364,0.0%,0.092901
suppose,546,362,0.0%,0.092560
works,547,360,0.0%,0.092217
doubt,548,359,0.0%,0.092129
lost,549,359,0.0%,0.092297
suddenly,550,359,0.0%,0.092465
ham,551,358,0.0%,0.092375
hair,552,356,0.0%,0.092026
beyond,553,356,0.0%,0.092193
wall,554,355,0.0%,0.092100
aaron,555,352,0.0%,0.091486
arm,556,351,0.0%,0.091391
blessed,557,351,0.0%,0.091555
opened,558,350,0.0%,0.091458
talk,559,348,0.0%,0.091099
seek,560,347,0.0%,0.090999
case,561,345,0.0%,0.090636
knowledge,562,345,0.0%,0.090798
mercy,563,343,0.0%,0.090432
immediately,564,343,0.0%,0.090593
hard,565,343,0.0%,0.090753
chapter,566,342,0.0%,0.090649
seeing,567,342,0.0%,0.090809
wood,568,342,0.0%,0.090969
silence,569,341,0.0%,0.090863
point,570,341,0.0%,0.091023
wind,571,341,0.0%,0.091182
deal,572,340,0.0%,0.091074
offer,573,339,0.0%,0.090965
deep,574,338,0.0%,0.090855
save,575,338,0.0%,0.091013
sing,576,337,0.0%,0.090902
month,577,337,0.0%,0.091060
meat,578,337,0.0%,0.091218
sit,579,337,0.0%,0.091375
making,580,337,0.0%,0.091533
seed,581,335,0.0%,0.091147
bad,582,333,0.0%,0.090759
cry,583,333,0.0%,0.090915
fish,584,333,0.0%,0.091071
sound,585,333,0.0%,0.091226
fruit,586,332,0.0%,0.091108
mount,587,332,0.0%,0.091263
spirits,588,331,0.0%,0.091144
fast,589,331,0.0%,0.091299
letter,590,331,0.0%,0.091454
run,591,331,0.0%,0.091609
tabernacle,592,331,0.0%,0.091764
read,593,330,0.0%,0.091641
free,594,329,0.0%,0.091517
enemies,595,327,0.0%,0.091114
past,596,327,0.0%,0.091267
gentleman,597,326,0.0%,0.091141
top,598,326,0.0%,0.091293
wine,599,325,0.0%,0.091166
thoughts,600,324,0.0%,0.091037
judge,601,324,0.0%,0.091189
third,602,323,0.0%,0.091058
river,603,323,0.0%,0.091210
become,604,322,0.0%,0.091078
daughters,605,322,0.0%,0.091229
